dr_no,date_rptd,date_occ,time_occ,area,area_name,rpt_dist_no,part_1_2,crm_cd,crm_cd_desc,mocodes,vict_age,vict_sex,vict_descent,premis_cd,premis_desc,weapon_used_cd,weapon_desc,status,status_desc,crm_cd_1,location,lat,lon
,,,,,,,,,,,,,,,,,,,,,,,
221804044,2022-01-01T00:00:00,2022-01-01T00:00:00,1520,18,Southeast,1836,1,235,CHILD ABUSE (PHYSICAL) - AGGRAVATED ASSAULT,1822 1259 0312 0334 0302 0443 1300,15,M,H,109,PARK/PLAYGROUND,102,HAND GUN,IC,Invest Cont,235,1400 E 109TH ST,33.9368,-118.2499
221004053,2022-01-01T00:00:00,2022-01-01T00:00:00,0130,10,West Valley,1035,2,237,CHILD NEGLECT (SEE 300 W.I.C.),1257 2002 0913 0553,0,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,237,6600 DARBY AV,34.1902,-118.5335
221304032,2022-01-01T00:00:00,2022-01-01T00:00:00,0220,13,Newton,1323,2,237,CHILD NEGLECT (SEE 300 W.I.C.),0913 1309 2002 1257 1240 0552,0,M,H,101,STREET,,,AO,Adult Other,237,24TH ST,34.0206,-118.2541
221304034,2022-01-01T00:00:00,2022-01-01T00:00:00,0220,13,Newton,1323,2,627,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,0913 1309 0416 0446 0360 1251 1259 2002,20,F,H,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,627,24TH ST,34.0206,-118.2541
221304033,2022-01-01T00:00:00,2022-01-01T00:00:00,0220,13,Newton,1323,2,627,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,0913 1309 0416 0417 0556 1251 1258,13,F,H,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,627,24TH ST,34.0206,-118.2541
221904053,2022-01-02T00:00:00,2022-01-02T00:00:00,2210,19,Mission,1905,2,237,CHILD NEGLECT (SEE 300 W.I.C.),,2,F,H,101,STREET,,,AA,Adult Arrest,237,13800 FOOTHILL BL,34.3155,-118.4343
221904090,2022-01-03T00:00:00,2022-01-03T00:00:00,2130,19,Mission,1918,2,627,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,0556 0408 0913 1258,13,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,627,12900 DRONFIELD AV,34.3048,-118.4333
220304107,2022-01-03T00:00:00,2022-01-01T00:00:00,0030,03,Southwest,0337,2,813,CHILD ANNOYING (17YRS & UNDER),0913 0360 0510 1251 1258 0558,11,F,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,813,2900 S LA SALLE AV,34.0291,-118.3053
221900511,2022-01-03T00:00:00,2022-01-02T00:00:00,2300,19,Mission,1995,2,237,CHILD NEGLECT (SEE 300 W.I.C.),0553 1257 1258 1259,17,M,H,501,SINGLE FAMILY DWELLING,,,AA,Adult Arrest,237,14500 BLYTHE ST,34.2152,-118.4488
221604094,2022-01-03T00:00:00,2022-01-01T00:00:00,1700,16,Foothill,1633,2,627,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,1601 0416 0913 0603 1258,9,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,627,11100 PHILLIPPI AV,34.2713,-118.4004
