dr_no,date_rptd,date_occ,time_occ,area,area_name,rpt_dist_no,part_1_2,crm_cd,crm_cd_desc,mocodes,vict_age,vict_sex,vict_descent,premis_cd,premis_desc,weapon_used_cd,weapon_desc,status,status_desc,crm_cd_1,location,lat,lon
221804044.0,2022-01-01,2022-01-01,1520.0,18.0,Southeast,1836.0,1.0,235.0,CHILD ABUSE (PHYSICAL) - AGGRAVATED ASSAULT,1822 1259 0312 0334 0302 0443 1300,15.0,M,H,109.0,PARK/PLAYGROUND,102.0,HAND GUN,IC,INVEST CONT,235.0,1400 E 109TH ST,33.9368,-118.2499
221004053.0,2022-01-01,2022-01-01,130.0,10.0,West Valley,1035.0,2.0,237.0,CHILD NEGLECT (SEE 300 W.I.C.),1257 2002 0913 0553,0.0,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,ADULT OTHER,237.0,6600 DARBY AV,34.1902,-118.5335
221304032.0,2022-01-01,2022-01-01,220.0,13.0,Newton,1323.0,2.0,237.0,CHILD NEGLECT (SEE 300 W.I.C.),0913 1309 2002 1257 1240 0552,0.0,M,H,101.0,STREET,,,AO,ADULT OTHER,237.0,24TH ST,34.0206,-118.2541
221304034.0,2022-01-01,2022-01-01,220.0,13.0,Newton,1323.0,2.0,627.0,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,0913 1309 0416 0446 0360 1251 1259 2002,20.0,F,H,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,ADULT OTHER,627.0,24TH ST,34.0206,-118.2541
221304033.0,2022-01-01,2022-01-01,220.0,13.0,Newton,1323.0,2.0,627.0,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,0913 1309 0416 0417 0556 1251 1258,13.0,F,H,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,ADULT OTHER,627.0,24TH ST,34.0206,-118.2541
221904053.0,2022-01-02,2022-01-02,2210.0,19.0,Mission,1905.0,2.0,237.0,CHILD NEGLECT (SEE 300 W.I.C.),,2.0,F,H,101.0,STREET,,,AA,ADULT ARREST,237.0,13800 FOOTHILL BL,34.3155,-118.4343
221904090.0,2022-01-03,2022-01-03,2130.0,19.0,Mission,1918.0,2.0,627.0,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,0556 0408 0913 1258,13.0,M,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,ADULT OTHER,627.0,12900 DRONFIELD AV,34.3048,-118.4333
220304107.0,2022-01-03,2022-01-01,30.0,3.0,Southwest,337.0,2.0,813.0,CHILD ANNOYING (17YRS & UNDER),0913 0360 0510 1251 1258 0558,11.0,F,H,501.0,SINGLE FAMILY DWELLING,,,IC,INVEST CONT,813.0,2900 S LA SALLE AV,34.0291,-118.3053
221900511.0,2022-01-03,2022-01-02,2300.0,19.0,Mission,1995.0,2.0,237.0,CHILD NEGLECT (SEE 300 W.I.C.),0553 1257 1258 1259,17.0,M,H,501.0,SINGLE FAMILY DWELLING,,,AA,ADULT ARREST,237.0,14500 BLYTHE ST,34.2152,-118.4488
221604094.0,2022-01-03,2022-01-01,1700.0,16.0,Foothill,1633.0,2.0,627.0,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,1601 0416 0913 0603 1258,9.0,F,H,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,ADULT OTHER,627.0,11100 PHILLIPPI AV,34.2713,-118.4004
221904123.0,2022-01-04,2022-01-04,1000.0,19.0,Mission,1995.0,2.0,237.0,CHILD NEGLECT (SEE 300 W.I.C.),0553 1259,17.0,M,B,501.0,SINGLE FAMILY DWELLING,,,AA,ADULT ARREST,237.0,14500 BLYTHE ST,34.2152,-118.4488
221304196.0,2022-01-04,2022-01-04,1530.0,13.0,Newton,1324.0,2.0,627.0,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,1258 0446 0553,12.0,M,H,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,INVEST CONT,627.0,1300 E 22ND ST,34.0216,-118.2531
221004171.0,2022-01-04,2022-01-04,800.0,10.0,West Valley,1088.0,2.0,627.0,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,0913 1601 0444,2.0,M,W,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,ADULT ARREST,627.0,4700 NOELINE AV,34.156,-118.4901
221004169.0,2022-01-04,2022-01-04,800.0,10.0,West Valley,1088.0,2.0,627.0,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,0913 1601 0444,3.0,M,W,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,ADULT ARREST,627.0,4700 NOELINE AV,34.156,-118.4901
221104177.0,2022-01-05,2022-01-04,1500.0,11.0,Northeast,1169.0,2.0,627.0,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,0416 0444 0319 1258 0552,12.0,M,H,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,ADULT OTHER,627.0,200 S AVENUE 52,34.1046,-118.1981
221904331.0,2022-01-05,2022-01-04,1810.0,19.0,Mission,1967.0,2.0,627.0,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,0448 0552 1259 0913 0408,16.0,M,H,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,ADULT OTHER,627.0,14000 REMINGTON ST,34.2448,-118.4382
